OBJECT_ID,OBJECT_NAME,NORAD_CAT_ID,COUNTRY,PERIOD,INCLINATION,APOGEE,PERIGEE,RCS_SIZE,RCSVALUE,LAUNCH,COMMENT
"2017-064B","BREEZE-KM R/B","42970","CIS","96.41","98.75","762","412","LARGE","0","2017-10-13",""
"2017-064A","SENTINEL 5P","42969","ESA","101.44","98.74","828","826","LARGE","0","2017-10-13",""
"2017-063B","FALCON 9 R/B","42968","US","586.52","27.62","33489","175","LARGE","0","2017-10-11",""
"2017-063B","FALCON 9 R/B","42968","US","586.65","27.62","33496","176","LARGE","0","2017-10-11",""
"2017-063A","ECHOSTAR 105/SES 11","42967","SES","1436.11","0.02","35797","35777","LARGE","0","2017-10-11",""
"2017-062B","H-2A R/B","42966","JPN","618.54","31.89","35027","313","LARGE","0","2017-10-09",""
"2017-062B","H-2A R/B","42966","JPN","618.54","31.89","35027","312","LARGE","0","2017-10-09",""
"2017-062A","QZS-4","42965","JPN","1436.39","40.82","38935","32650","LARGE","0","2017-10-09",""
"2017-062A","QZS-4","42965","JPN","1436.39","40.82","38936","32649","LARGE","0","2017-10-09",""
"2017-061K","IRIDIUM 125","42964","US","100.40","86.40","779","776","LARGE","0","2017-10-09",""
"2017-061J","IRIDIUM 139","42963","US","100.40","86.40","779","776","LARGE","0","2017-10-09",""
"2017-061H","IRIDIUM 136","42962","US","100.40","86.40","779","776","LARGE","0","2017-10-09",""
"2017-061G","IRIDIUM 132","42961","US","100.40","86.40","779","776","LARGE","0","2017-10-09",""
"2017-061F","IRIDIUM 107","42960","US","100.40","86.40","779","776","LARGE","0","2017-10-09",""
"2017-061E","IRIDIUM 119","42959","US","100.40","86.40","779","776","LARGE","0","2017-10-09",""
"2017-061D","IRIDIUM 129","42958","US","100.40","86.40","779","776","LARGE","0","2017-10-09",""
"2017-061C","IRIDIUM 122","42957","US","100.40","86.40","779","776","LARGE","0","2017-10-09",""
"2017-061B","IRIDIUM 100","42956","US","100.40","86.40","779","776","LARGE","0","2017-10-09",""
"2017-061A","IRIDIUM 133","42955","US","100.40","86.40","779","776","LARGE","0","2017-10-09",""
"2017-060A","VRSS-2","42954","VENZ","97.56","97.93","654","629","LARGE","0","2017-10-09",""
"2017-059D","ARIANE 5 DEB (SYLDA)","42953","FR","484.94","6.45","27940","196","LARGE","0","2017-09-29",""
"2017-059D","ARIANE 5 DEB (SYLDA)","42953","FR","485.39","6.45","27966","196","LARGE","0","2017-09-29",""
"2017-059C","ARIANE 5 R/B","42952","FR","623.56","5.91","35321","278","LARGE","0","2017-09-29",""
"2017-059B","BSAT-4A","42951","JPN","1436.09","0.04","35803","35770","LARGE","0","2017-09-29",""
"2017-059B","BSAT-4A","42951","JPN","1436.14","0.04","35804","35771","LARGE","0","2017-09-29",""
"2017-059A","INTELSAT 37E","42950","ITSO","1436.11","0.02","35797","35776","LARGE","0","2017-09-29",""
